elapsed_sec,step,jet_velocity_mean,jet_velocity_max,enstrophy,enstrophy_drift,tau_im_min,rho_mean,wec_margin,div_u,speedup_vs_wrf,simulated_days,spot_l4_cost_usd,spot_tpu_cost_usd,ondemand_cost_usd,hpc_cluster_cost_usd,residual_norm
1.0,91,24.169065445569082,54.63939021787212,1.1391703543738438,0.0018222524654160218,0.9301118149571381,0.9554114104216453,1.0706590688579856,1.3392663677927574,1520.0,2.275,5.565982394748265e-05,0.00010018768310546875,0.00019480938381618922,0.0051485337151421446,0.0015490345956036184
2.0,178,23.430327223010778,52.15863854562273,1.1371905255554617,0.003557042229606253,0.9302153065653778,0.9553166393564013,1.0972639102141686,1.2345077478422781,1520.0,4.45,0.00011136767599317763,0.0002004618167877197,0.00038978686597612163,0.01030151002936893,0.003023605895165315
3.01,269,22.70958933830287,49.793993189412376,1.1351284177886969,0.005363927457877757,0.9303202377956145,0.9552205692336402,1.1107096394743539,1.1376541299838965,1520.0,6.725,0.00016714289453294544,0.00030085721015930177,0.000585000130865309,0.015460717744297452,0.004559458339196093
4.01,405,21.719750807276746,46.63439706339561,1.1320631645992623,0.008049801008313354,0.9304712171559436,0.9550823736077443,1.070296974767622,1.0129354892895317,1520.0,10.125,0.00022296823395623105,0.00040134282112121584,0.0007803888188468085,0.02062456164095137,0.006842450857066351
5.01,495,21.115614270785585,44.755123019723385,1.1300455485153096,0.00981770119140442,0.930567567433238,0.9549942024763556,1.098412660092873,0.9414636401681657,1520.0,12.375,0.0002785609033372667,0.00050140962600708,0.0009749631616804334,0.02576688355869717,0.008345166012693757
6.02,589,20.523074849104308,42.94753551787943,1.1279474424590963,0.011656129280090773,0.9306653888999691,0.9549047017522041,1.106982780289564,0.8746827932449519,1520.0,14.725,0.0003341720898946126,0.0006015097618103027,0.0011696023146311441,0.030910918315251668,0.009907829888077157
7.02,763,19.517752435444933,39.96012897722948,1.1240883103766022,0.015037625080742786,0.9308394604487191,0.9547454784330177,1.0785362610366163,0.7687607850198477,1520.0,19.075,0.0003900160392125448,0.0007020288705825806,0.0013650561372439067,0.03607648362716039,0.012782101318631367
8.02,935,18.624918040035517,37.389314513913014,1.1203046779885988,0.018352965617876096,0.9310033855885499,0.9545955847375269,1.0899091082329337,0.6823494272024817,1520.0,23.375,0.00044561809963650174,0.000802112579345703,0.0015596633487277559,0.04121967421637641,0.015600140775194681
9.02,1107,17.81729269381852,35.12934085005448,1.1165517197259294,0.021641428498637903,0.9311600105191655,0.9544524104853085,1.0897404465818301,0.6107161554152727,1520.0,27.675,0.0005011981195873684,0.0009021566152572631,0.0017541934185557892,0.046360826061831575,0.018395334223842215
10.03,1250,17.201923279508016,33.448481585698794,1.1134546760204032,0.02435515792297632,0.9312851605776018,0.9543380390649332,1.0892505225354254,0.560513321472234,1520.0,31.25,0.0005571037928263346,0.0010027868270874023,0.0019498632748921711,0.05153210083643595,0.02070200423452987
11.03,1349,16.802403067499895,32.37602890512232,1.1113227891654849,0.02622318583528149,0.9313693028210904,0.9542611590912828,1.0695576262612017,0.5296681143979178,1520.0,33.725,0.000612830506430732,0.0011030949115753174,0.002144906772507561,0.0566868218448427,0.022289827959989263
