elapsed_sec,step,jet_velocity_mean,jet_velocity_max,enstrophy,enstrophy_drift,tau_im_min,rho_mean,wec_margin,div_u,speedup_vs_wrf,simulated_days,spot_l4_cost_usd,spot_tpu_cost_usd,ondemand_cost_usd,hpc_cluster_cost_usd,residual_norm
1.0,292,22.535169253774683,49.229902544638236,1.134608636592406,0.005819376479819421,0.9303462488845066,0.9551967576965406,1.097782940905912,1.1149904143072331,1520.0,7.3,5.56337833404541e-05,0.00010014081001281737,0.00019471824169158932,0.005146124958992004,0.004946590007846508
2.0,567,20.658433225973155,43.35737271523176,1.1284376501193782,0.011226593542713369,0.9306427426347721,0.9549254202175594,1.1202795144377855,0.889646994895466,1520.0,14.175,0.00011131607161627875,0.00020036892890930175,0.0003896062506569756,0.010296736624505785,0.009542724511306363
3.01,829,19.16419271735784,38.93291919273884,1.1226328063432585,0.0163129845842203,0.9309032728994402,0.9546871225010782,1.1092243636679298,0.7336808679105107,1520.0,20.725,0.00016709155506557888,0.000300764799118042,0.000584820442729526,0.015455968843566046,0.013866156896587253
4.01,1091,17.889169496620593,35.32797861581216,1.1168995457684305,0.021336652119666455,0.9311457297733916,0.954465463039981,1.0830575051964981,0.616790230767982,1520.0,27.275,0.00022265463405185277,0.000400778341293335,0.0007792912191814847,0.020595553649796382,0.018136274301716486
5.01,1334,16.861627777345916,32.53407885002937,1.111645162258783,0.02594071215002568,0.9313566803185085,0.9542726913604181,1.0689401410686228,0.5341553014408618,1520.0,33.35,0.0002782684299680922,0.0005008831739425659,0.0009739395048883225,0.025739829772048525,0.02204972532752183
6.01,1576,15.958500520534038,30.158853818856564,1.1064719522458357,0.030473645348665198,0.9315551100152841,0.9540914328263421,1.0839520261308004,0.4692554654415919,1520.0,39.4,0.00033391639921400286,0.000601049518585205,0.0011687073972490097,0.03088726692729526,0.025902718546365416
7.01,1832,15.11079793815422,27.9966941881479,1.1010632919855912,0.035212887635845534,0.9317538248421393,0.953909983057214,1.1139918375449198,0.41525074807079454,1520.0,45.8,0.00038965169588724776,0.0007013730525970459,0.0013637809356053668,0.03604278186957041,0.029931074490468702
8.01,2093,14.34135282330585,26.089764003931627,1.0956156322119592,0.03998630255250002,0.9319458859025876,0.9537346747445689,1.1125916412086887,0.37191482591035774,1520.0,52.325,0.0004452726973427667,0.0008014908552169799,0.001558454440699683,0.041187724504205915,0.03398847716962501
9.02,2324,13.727696200431687,24.60642408088823,1.0908495158809313,0.04416252715800098,0.9321079133459816,0.953586830599052,1.0743952527636156,0.3409154402562564,1520.0,58.1,0.0005008760293324789,0.0009015768527984618,0.0017530661026636757,0.04633103271325429,0.03753826808430083
10.02,2579,13.1128675501698,23.15329195967787,1.0856477952498231,0.048720442278358596,0.9322789418419953,0.9534308232031377,1.0685874685015968,0.31270642618191924,1520.0,64.475,0.0005566288100348579,0.001001931858062744,0.0019482008351220023,0.05148816492822435,0.0414124959366048
11.02,2845,12.53165763999934,21.809774950883202,1.0802874129867694,0.05341738182977475,0.9324494003845336,0.9532753866529352,1.0786169762908813,0.2883600433431055,1520.0,71.125,0.0006122162342071533,0.001101989221572876,0.0021427568197250365,0.05663000166416168,0.045404894555308536
